문장,class1(input),class2(output),class3(model),s_n
이 영상에서 차량의 종류를 구분해줄 수 있나요?,image,Object_detection,Yolo,1
이미지에서 얼굴을 인식해서 인물을 구분할 수 있을까요?,image,Object_detection,Yolo,1
사진에서 특정 인물의 위치를 찾아주세요.,image,Object_detection,Yolo,1
이 동영상에서 특정 사물의 움직임을 추적할 수 있을까요?,image,Object_detection,Yolo,1
이 사진에서 빨간색 물건을 찾아주세요.,image,Object_detection,Yolo,1
이 영상에서 등장하는 인물들의 수를 세어줄 수 있을까요?,image,Object_detection,Yolo,1
이 영상에서 특정 인물이 움직인 경로를 추적해줄 수 있나요?,image,Object_detection,Yolo,1
이 사진에서 다른 인물과 함께 있는 인물을 찾아주세요.,image,Object_detection,Yolo,1
이 동영상에서 특정 시간대에 등장한 인물을 찾아주세요.,image,Object_detection,Yolo,1
이 사진에서 특정 색상이 사용된 물체들을 구분해주세요.,image,Object_detection,Yolo,1
이 영상에서 특정 객체가 등장한 위치를 추적할 수 있을까요?,image,Object_detection,Yolo,1
이 사진에서 두 인물이 서로 마주보고 있는지 확인해주세요.,image,Object_detection,Yolo,1
이 동영상에서 두 인물이 서로 마주보고 있는지 확인해줄 수 있나요?,image,Object_detection,Yolo,1
이 사진에서 어디가 가장 밝은 부분인가요?,image,Object_detection,Yolo,1
이 영상에서 특정 인물이 등장한 시간을 찾아주세요.,image,Object_detection,Yolo,1
이 사진에서 어떤 물체가 누워있는지 확인해주세요.,image,Object_detection,Yolo,1
이 동영상에서 특정 사물이 등장하는 시간대를 파악할 수 있나요?,image,Object_detection,Yolo,1
이 사진에서 특정 물체가 눌러진 상태인지 확인해주세요.,image,Object_detection,Yolo,1
이 영상에서 특정 사물이 움직인 거리를 계산해줄 수 있나요?,image,Object_detection,Yolo,1
이 사진에서 다른 물체와 색상이 다른 물체들을 찾아주세요.,image,Object_detection,Yolo,1
이 동영상에서 등장하는 모든 인물의 얼굴을 인식해주세요.,image,Object_detection,Yolo,1
내가 찍은 사진 속에 강아지가 어디에 있는지 알려주세요.,image,Object_detection,Yolo,1
이 동영상 속에 등장하는 사람들은 누구인지 구분할 수 있을까요?,image,Object_detection,Yolo,1
"이 사진 속에 나무와 바위가 있는데, 둘 중 어디에 먼저 초점을 맞춰야 할까요?",image,Object_detection,Yolo,1
내가 찍은 사진 속에서 새들이 어디에 앉아 있는지 알려주세요.,image,Object_detection,Yolo,1
이 그림 속에 있는 색깔이 다른 도시락 3개를 찾아볼 수 있을까요?,image,Object_detection,Yolo,1
지금 보이는 풍경 속에 들어가는 풍경 요소들 중에서 어떤 것이 눈에 띄나요?,image,Object_detection,Yolo,1
이 동영상에서 차례대로 등장하는 여러 동물들을 구분할 수 있을까요?,image,Object_detection,Yolo,1
"내가 찍은 사진 속에 있는 건물의 이름을 알고 싶고, 위치도 함께 알려주세요.",image,Object_detection,Yolo,1
이 사진 속에 있는 사람들은 무엇을 하고 있는 건지 위치도 함께 알려주세요.,image,Object_detection,Yolo,1
이 그림 속에 있는 사람들 중에서 어떤 사람이 제일 큰가요?,image,Object_detection,Yolo,1
이 동영상에서 등장하는 차들을 구분할 수 있을까요?,image,Object_detection,Yolo,1
내가 찍은 사진 속에 있는 나무들 중에서 큰 나무를 찾아주세요.,image,Object_detection,Yolo,1
이 그림 속에 있는 동물들 중에서 어떤 동물이 제일 많은가요?,image,Object_detection,Yolo,1
이 사진 속에 있는 사람 중에서 제일 가운데에 있는 사람이 누구인가요?,image,Object_detection,Yolo,1
이 그림 속에 있는 여러 가지 종류의 과일 중에서 어떤 과일이 제일 많은가요?,image,Object_detection,Yolo,1
사진 속 동물들이 어디에 위치하는지 알려주세요.,image,Object_detection,Yolo,1
이미지에서 차량의 번호판을 읽을 수 있나요?,image,Object_detection,Yolo,1
영상에서 나오는 동물이 어디로 가고 있는지 알려주세요.,image,Object_detection,Yolo,1
영상에서 나오는 인물들이 어디에 위치하는지 알려주세요.,image,Object_detection,Yolo,1
"어린 아이가 공원에서 나무 그늘 아래에 앉아 있을 때, 그 주변의 동물들이 어디에 위치하고 있는지 알려줘.",image,Object_detection,Yolo,1
"해변에서 서핑을 즐기는 사람들 사이에서 상어가 발견되면, 상어의 위치와 사람들의 안전을 보장해줘.",image,Object_detection,Yolo,1
"피크닉을 즐기는 가족들이 있는 공원에서, 벌레와 같은 작은 생물들이 어디에 위치하는지 분류해서 알려줘.",image,Object_detection,Yolo,1
"주말에 호수에서 낚시를 즐기는 사람들이 있을 때, 물고기와 같은 동물들이 어디에 위치하는지 알려줘.",image,Object_detection,Yolo,1
"산속에서 등산을 즐기는 사람들 중에, 동물들이 있는 지점을 분류해서 알려줘.",image,Object_detection,Yolo,1
"바다에서 보트를 타고 있는 사람들 중에, 고래와 같은 큰 동물들이 어디에 위치하는지 알려줘.",image,Object_detection,Yolo,1
"도심 속에서 자전거를 타고 있는 사람들 사이에서, 새와 같은 동물들이 어디에 위치하는지 알려줘.",image,Object_detection,Yolo,1
"오후에 공원에서 휴식을 취하고 있는 사람들 중에, 다람쥐와 같은 작은 동물들이 어디에 위치하는지 알려줘.",image,Object_detection,Yolo,1
"해외여행을 간 사람들이 찍은 사진에서, 그 사진 안의 사물과 건물들이 어디에 위치하는지 분류해서 알려줘.",image,Object_detection,Yolo,1
"산행 중인 사람들이 있을 때, 등산로 주변의 동물들이 어디에 위치하는지 알려줘.",image,Object_detection,Yolo,1
"밤에 도시를 산책하는 사람들 중에, 박쥐와 같은 동물들이 어디에 위치하는지 알려줘.",image,Object_detection,Yolo,1
"휴양지에서 쉬고 있는 사람들 중에, 나무와 같은 자연물들이 어디에 위치하는지 분류해서 알려줘.",image,Object_detection,Yolo,1
"운동을 즐기는 사람들이 있는 체육관 안에서, 운동기구와 같은 사물들이 어디에 위치하는지 분류해서 알려줘.",image,Object_detection,Yolo,1
"도로를 달리는 자동차와 트럭들 사이에서, 흰색 토끼와 같은 동물들이 어디에 위치하는지 알려줘.",image,Object_detection,Yolo,1
이 버스에서 가장 앞쪽 좌석은 어디인가요?,image,Object_detection,Yolo,1
이 도시에서 가장 높은 건물은 어디인가요?,image,Object_detection,Yolo,1
이 농장에서 어떤 작물을 가장 많이 재배하나요?,image,Object_detection,Yolo,1
이 비행기에서 몇 개의 창문이 보이나요?,image,Object_detection,Yolo,1
이 사진에서 가장 많은 인파가 모여있는 곳은 어디인가요?,image,Object_detection,Yolo,1
이 호텔에서 가장 높은 층은 몇 층인가요?,image,Object_detection,Yolo,1
이 캠퍼스에서 가장 큰 건물은 무엇인가요?,image,Object_detection,Yolo,1
사무실에서 저의 책상 위에 있는 물건들을 분류해주실 수 있나요? 그리고 각각이 어떤 용도로 사용되는지 알려주실 수 있으면 좋겠습니다.,image,Object_detection,Yolo,2
"이미지에서 사람들을 구분해보려고 하는데, 어디가 어떤 사람인지 알려주실 수 있을까요? 그리고 각 사람이 무엇을 하고 있는지도 알려주시면 감사하겠습니다.",image,Object_detection,Yolo,2
이 상황에서 무슨 일이 일어나고 있는지 설명해주실 수 있을까요? 또 이 장면 속에서 각각의 인물이 어디에 위치해 있는지도 알려주세요.,image,Object_detection,Yolo,2
요리하는 동안 내가 필요한 재료들을 찾아주실 수 있을까요? 또 각각의 재료가 어디에 있는지 알려주시면 좋겠어요.,image,Object_detection,Yolo,2
이미지 속 인물들이 하는 일을 설명해주세요. 그리고 각각이 위치한 장소도 알려주시면 좋겠습니다.,image,Object_detection,Yolo,2
이 자료들을 분류하고 카테고리별로 정리해주실 수 있을까요? 그리고 각각의 자료가 무엇인지도 알려주시면 감사하겠습니다.,image,Object_detection,Yolo,2
이미지 속에 있는 각각의 동물이 어디에 위치해 있는지 알려주세요. 그리고 각 동물들이 하는 일도 알려주시면 좋겠어요.,image,Object_detection,Yolo,2
이 쇼핑몰에서 내가 찾는 상품을 찾아주실 수 있나요? 또 상품이 어느 카테고리에 속하는지도 알려주시면 좋겠습니다.,image,Object_detection,Yolo,2
이미지 속 인물들이 하는 일을 알려주세요. 또 각 인물이 어디에 위치해 있는지도 알려주시면 좋겠어요.,image,Object_detection,Yolo,2
이 자료들을 분류하고 각각을 어디에 저장해야 할지 알려주실 수 있을까요? 또 각 자료가 무엇인지도 알려주시면 좋겠습니다.,image,Object_detection,Yolo,2
이미지 속에 있는 각각의 물건이 어디에 위치해 있는지 알려주세요. 그리고 각 물건들이 어떤 용도로 사용되는지도 알려주시면 좋겠습니다.,image,Object_detection,Yolo,2
사용자가 찍은 사진을 분류하고 싶어요. 인공지능 알고리즘에 입력으로 사용되는 사진은 모두 제가 찍은 것이에요.,image,Object_detection,Yolo,2
이번에 찍은 영상을 분석해주는 인공지능 알고리즘을 찾고 있어요. 제가 원하는 것은 얼굴 인식 기술로 사람들의 위치를 파악하는 것이에요.,image,Object_detection,Yolo,2
제가 찍은 사진들을 분류해주는 인공지능 알고리즘이 필요해요. 사진 속 사물들이 어디에 위치하고 어떤 종류인지 자동으로 분류해주면 좋겠어요.,image,Object_detection,Yolo,2
인공지능 알고리즘으로 자동으로 차량 번호판을 인식하고 싶어요. 번호판이 어디에 위치하고 있는지도 함께 알려주면 더 좋겠어요.,image,Object_detection,Yolo,2
제가 찍은 사진들을 이용해 추억을 남기고 싶어요. 그래서 인공지능 알고리즘으로 사진들을 자동으로 분류하고 태그를 달아주는 기능이 있으면 좋겠어요.,image,Object_detection,Yolo,2
인공지능 알고리즘으로 제가 찍은 사진 속에 있는 동물들을 분류하고 싶어요. 동물이 어디에 위치해 있는지도 함께 알려주면 좋겠어요.,image,Object_detection,Yolo,2
"제가 찍은 사진을 인공지능 알고리즘으로 분석해주는 기술이 필요해요. 사람들이 어디에 위치하고 있는지, 그리고 어떤 행동을 하는지도 함께 알려주면 좋겠어요.",image,Object_detection,Yolo,2
인공지능 알고리즘으로 제가 찍은 사진을 자동으로 분류하고 태그를 달아주는 기능이 필요해요. 사진 속에 있는 사물이나 사람들이 어디에 위치해 있는지도 함께 알려주면 좋겠어요.,image,Object_detection,Yolo,2
"이번에 찍은 동영상을 분석해주는 인공지능 알고리즘이 필요해요. 사람들이 어디에 위치해 있는지, 그리고 어떤 행동을 하는지도 함께 알려주면 좋겠어요.",image,Object_detection,Yolo,2
인공지능 알고리즘으로 제가 찍은 사진 속에 있는 건물이나 풍경을 분류하고 싶어요. 그리고 그것이 어디에 위치해 있는지도 함께 알려주면 좋겠어요.,image,Object_detection,Yolo,2
제 차량의 블랙박스 영상을 분류하기 위해서는 어떤 인공지능 알고리즘이 적합할까요? 차량 내부와 외부의 사물과 위치를 정확하게 분류할 수 있는 알고리즘이 필요합니다.,image,Object_detection,Yolo,2
제가 찍은 사진 속 인물들을 분류하고 위치를 파악할 수 있는 인공지능 알고리즘이 필요합니다. 어떤 알고리즘이 가장 적합할까요?,image,Object_detection,Yolo,2
얼굴 인식과 함께 특정 인물이 있는지 확인할 수 있는 인공지능 알고리즘이 필요합니다. 인물이 위치한 곳과 그들의 활동을 추적할 수 있으면 좋겠습니다.,image,Object_detection,Yolo,2
드론으로 촬영한 영상을 분류하고 위치를 파악할 수 있는 인공지능 알고리즘이 필요합니다. 어떤 알고리즘이 가장 효과적일까요?,image,Object_detection,Yolo,2
제가 찍은 공원 사진에서 각종 동물들을 분류하고 위치를 파악할 수 있는 인공지능 알고리즘이 필요합니다. 어떤 알고리즘이 적합할까요?,image,Object_detection,Yolo,2
저희 회사의 보안 카메라 영상을 분류하고 위치를 파악할 수 있는 인공지능 알고리즘이 필요합니다. 어떤 알고리즘이 가장 적합할까요?,image,Object_detection,Yolo,2
의료 영상을 분류하고 병원에서의 환자 위치를 파악할 수 있는 인공지능 알고리즘이 필요합니다. 어떤 알고리즘이 가장 적합할까요?,image,Object_detection,Yolo,2
소방차로 찍은 화재 현장의 영상을 분류하고 위치를 파악할 수 있는 인공지능 알고리즘이 필요합니다. 어떤 알고리즘이 적합할까요?,image,Object_detection,Yolo,2
주행 중인 자동차의 내부와 외부 환경을 분류하고 위치를 파악할 수 있는 인공지능 알고리즘이 필요합니다. 어떤 알고리즘이 가장 효과적일까요?,image,Object_detection,Yolo,2
제가 찍은 바다 사진에서 다양한 해양 생물들을 분류하고 위치를 파악할 수 있는 인공지능 알고리즘이 필요합니다. 어떤 알고리즘이 적합할까요?,image,Object_detection,Yolo,2
이 사진은 우리 집 앞 공원에서 찍은 것이에요. 알고리즘을 이용해서 강아지와 고양이를 분류해보고 싶어요.,image,Object_detection,Yolo,2
영상에는 여러 사람이 등장해요. 누가 어디서 무엇을 하는지 알고 싶어요.,image,Object_detection,Yolo,2
"이 이미지는 산에 있는 경치에요. 알고리즘을 이용해서 구름, 나무, 바위를 분류하고 싶어요.",image,Object_detection,Yolo,2
이 영상은 해변에서 촬영한 것이에요. 사람들의 행동을 분류해서 어떤 위치에서 누가 뭘 하는지 파악하고 싶어요.,image,Object_detection,Yolo,2
이 사진은 도시에서 찍은 것이에요. 건물과 차량을 분류해서 어떤 위치에서 무슨 일이 일어나고 있는지 알고 싶어요.,image,Object_detection,Yolo,2
이 영상에는 동물들이 등장해요. 어떤 동물이 어디서 무엇을 하는지 알고 싶어요.,image,Object_detection,Yolo,2
이 이미지는 밭에서 찍은 것이에요. 작물을 분류해서 어떤 위치에서 어떤 작물이 재배되고 있는지 파악하고 싶어요.,image,Object_detection,Yolo,2
이 영상은 도심의 길거리에서 촬영한 것이에요. 사람들의 움직임을 분류해서 어떤 위치에서 무슨 일이 일어나고 있는지 알고 싶어요.,image,Object_detection,Yolo,2
이 사진은 해외에서 찍은 것이에요. 알고리즘을 이용해서 건물과 자동차를 분류하고 싶어요.,image,Object_detection,Yolo,2
이 영상에는 해변에서 놀고 있는 사람들이 등장해요. 어떤 사람이 어디서 무엇을 하는지 알고 싶어요.,image,Object_detection,Yolo,2
이번 프로젝트에서 인공지능 알고리즘이 필요한 것은 고속도로에서 찍힌 CCTV 영상입니다. 이 영상에서 차량들의 번호판을 분류해내어 어떤 차량이 어디를 지나갔는지 알아내야 합니다.,image,Object_detection,Yolo,2
"제가 분류를 원하는 것은 이 사진 속에 있는 식물이 어떤 종류인지 알고싶습니다. 이 식물은 정원에서 찍은 것이고, 혹시 분류할 수 있을까요?",image,Object_detection,Yolo,2
이번에 작업할 이미지는 의료 영상입니다. 환자의 X-ray 사진에서 어디에 어떤 종류의 질병이 있는지 찾아내는 것이 목표입니다.,image,Object_detection,Yolo,2
이 사진에 있는 물고기들을 각각 어떤 종류인지 파악하고 싶습니다. 이 사진은 해양 박물관에서 찍은 것입니다.,image,Object_detection,Yolo,2
"우리 가게의 CCTV 영상을 인공지능 알고리즘으로 분석해봐야겠습니다. 고객들이 언제 어떤 상품을 많이 구매했는지 파악하고, 언제 어떤 상품이 재고가 부족해지는지 미리 예측하고 싶습니다.",image,Object_detection,Yolo,2
이 사진에 있는 강아지들의 종류를 모두 파악해보고 싶습니다. 이 사진은 우리 집 앞 공원에서 찍은 것입니다.,image,Object_detection,Yolo,2
이번 프로젝트에서 인공지능 알고리즘이 필요한 것은 농사 영상입니다. 드론으로 촬영한 농지 영상에서 밭에 자라는 작물들이 어떤 종류인지 파악하여 농부들에게 정보를 제공하고 싶습니다.,image,Object_detection,Yolo,2
이 사진에 있는 건물들의 위치와 이름을 모두 알고 싶습니다. 이 사진은 도심에서 찍은 것입니다.,image,Object_detection,Yolo,2
이번에 작업할 이미지는 우주 영상입니다. 인공지능 알고리즘을 사용하여 우주선 창문을 통해 찍은 행성 사진에서 어떤 지형이 있는지 파악하고 싶습니다.,image,Object_detection,Yolo,2
이 사진에 있는 새들의 종류를 모두 파악해보고 싶습니다. 이 사진은 산속에서 찍은 것입니다.,image,Object_detection,Yolo,2
이 사진은 산에서 캠핑을 즐기는 가족들의 모습을 담고 있습니다. 캠핑 장소에 있는 사물들을 분류하고자 합니다.,image,Object_detection,Yolo,2
"오늘 찍은 이 사진은 도심 한복판에서 찍은 것이며, 거리를 가로지르는 보도에 사람들이 많이 있습니다. 보도에 있는 사람들을 분류하고 위치를 알고 싶어합니다.",image,Object_detection,Yolo,2
"이 영상은 동물원에서 촬영된 것으로, 여러 종류의 동물들이 자연스러운 모습을 보이고 있습니다. 동물원에 있는 동물들을 분류하고 그들의 위치를 알고 싶어합니다.",image,Object_detection,Yolo,2
이 사진은 바다에서 서핑하는 사람들의 모습을 담고 있습니다. 해변에서 볼 수 있는 사물들을 분류하고 위치를 알고 싶어합니다.,image,Object_detection,Yolo,2
이 이미지는 도시의 한 골목길을 담고 있습니다. 골목길에 있는 사람들을 분류하고 그들이 어디에 위치하는지 알고 싶어합니다.,image,Object_detection,Yolo,2
이 사진은 꽃밭에서 꽃을 관찰하는 모습을 담고 있습니다. 꽃밭에 있는 꽃들을 분류하고 그들의 위치를 알고 싶어합니다.,image,Object_detection,Yolo,2
이 영상은 풍경을 즐기기 위해 산책하는 사람들의 모습을 담고 있습니다. 산책로에 있는 사람들을 분류하고 그들의 위치를 알고 싶어합니다.,image,Object_detection,Yolo,2
이 사진은 도심 한 가운데에 위치한 공원에서 찍은 것입니다. 공원에 있는 사람들을 분류하고 그들의 위치를 알고 싶어합니다.,image,Object_detection,Yolo,2
이 이미지는 해변에서 바다를 바라보는 사람들의 모습을 담고 있습니다. 해변에 있는 사물들을 분류하고 위치를 알고 싶어합니다.,image,Object_detection,Yolo,2
이 사진은 농장에서 걷는 소와 말의 모습을 담고 있습니다. 농장에 있는 동물들을 분류하고 그들의 위치를 알고 싶어합니다.,image,Object_detection,Yolo,2
이 영상은 도심에서 진행되는 퍼레이드를 담고 있습니다. 퍼레이드에 참가한 사람들을 분류하고 그들의 위치를 알고 싶어합니다.,image,Object_detection,Yolo,2
"이 사진은 녹색숲과 산들로 둘러싸인 호수를 담고 있어. 내가 원하는 것은 이 사진에 포함된 나무, 산, 호수와 같은 사물들을 분류하고 위치를 알아내는 것이야.",image,Object_detection,Yolo,2
이 영상은 해변에서 서핑을 즐기는 사람들을 담고 있어. 나는 이 영상에 포함된 사람들을 분류하고 위치를 알아내고 싶어.,image,Object_detection,Yolo,2
"이 이미지는 도시의 번화한 거리를 담고 있어. 내가 원하는 것은 이 이미지에 포함된 건물, 차량, 인간들을 분류하고 위치를 알아내는 것이야.",image,Object_detection,Yolo,2
이 사진은 밀림 속에서 살아남은 야생 동물들을 담고 있어. 나는 이 사진에 포함된 동물들을 분류하고 위치를 알아내고 싶어.,image,Object_detection,Yolo,2
"이 영상은 인테리어 디자인이 잘 된 거실을 담고 있어. 내가 원하는 것은 이 영상에 포함된 가구, 장식품 등을 분류하고 위치를 알아내는 거야.",image,Object_detection,Yolo,2
이 사진은 농장에서 일하는 농부를 담고 있어. 나는 이 사진에 포함된 사람과 동물들을 분류하고 위치를 알아내고 싶음.,image,Object_detection,Yolo,2
"이 이미지는 멋진 야경을 담고 있어. 나는 이 이미지에 포함된 건물, 다리, 나무 등을 분류하고 위치를 알아내고 싶어.",image,Object_detection,Yolo,2
이 사진은 공원에서 산책하는 사람들을 담고 있어. 사진에 포함된 사람들을 분류하고 위치를 알아내고 싶음.,image,Object_detection,Yolo,2
이 영상은 빙하 위에서 스키를 타는 사람들을 담고 있어. 내가 원하는 것은 이 영상에 포함된 사람들을 분류하고 위치를 알아내는 거야.,image,Object_detection,Yolo,2
"이 이미지는 시골의 작은 마을을 담고 있어. 이미지에 포함된 건물, 사람, 자동차 등을 분류하고 위치를 알아내고 싶어.",image,Object_detection,Yolo,2
"이 사진은 공원에서 찍은 것이에요. 나무와 꽃들이 많이 있는데, 그것들을 인식해 주실 수 있을까요?",image,Object_detection,Yolo,2
저는 이번에 우리 가족과 함께 해외여행을 다녀왔어요. 사진 속 사람들과 건물들을 인식해주시면 정말 좋을 것 같아요.,image,Object_detection,Yolo,2
"이 영상은 도심에서 찍은 것인데, 주변에는 건물들과 차들이 많이 보이네요. 건물들과 차를 인식하고 그것들의 위치를 알려주실 수 있을까요?",image,Object_detection,Yolo,2
제가 찍은 사진 속에서 제가 있는 위치와 주변 환경을 인식해 주실 수 있을까요? 어떤 정보가 있으면 좋을까요?,image,Object_detection,Yolo,2
이 동물원에서 찍은 사진 속 동물들의 종류와 위치를 인식해 주실 수 있을까요? 어떤 정보가 필요한지 알려주세요.,image,Object_detection,Yolo,2
이번에 여행에서 찍은 사진 속에는 유적지와 건물들이 많이 있어요. 유적지를 인식하고 구조물들의 위치를 알려주시면 정말 감사하겠어요.,image,Object_detection,Yolo,2
"제가 찍은 사진 속 사람들과 동물들을 인식하고, 그들의 위치를 알려주시면 정말 좋을 것 같아요. 필요한 정보가 있으면 알려주세요.",image,Object_detection,Yolo,2
"이번에 찍은 사진 속에는 해변과 바다, 사람들과 배들이 많이 보여요. 그것들을 인식하고 위치를 알려주실 수 있을까요?",image,Object_detection,Yolo,2
제가 찍은 사진 속 자연 경관과 동물들을 분류해주세요. 위치도 인식해서 알려주실 수 있을까요? ,image,Object_detection,Yolo,2
"이 영상은 풍경이 아주 아름다운데, 거기에는 산과 하늘이 많이 보이네요. 그것들을 인식해주세요.",image,Object_detection,Yolo,2
이 사진은 산속에 위치한 나무들과 작은 연못을 포함하고 있어. 이를 분류해서 인식하는 알고리즘을 알려줘.,image,Object_detection,Yolo,2
"내가 찍은 이 사진에는 여러 동물들이 살고 있는데, 이를 분류해서 어떤 동물들이 어디에 위치해 있는지 알려줄 수 있을까?",image,Object_detection,Yolo,2
이 영상은 주택가에 위치한 건물들과 자동차들을 포함하고 있어. 건물들과 자동차의 위치를 인식하고 분류하려면 어떤 모델을 써야할까?,image,Object_detection,Yolo,2
"이 사진에는 시내 중심가의 건물과 사람들이 많이 있는데, 어떻게 분류하면 좋을까? 인공지능 알고리즘을 추천해줘.",image,Object_detection,Yolo,2
"이 이미지에는 바다와 해변, 그리고 사람들이 포함되어 있어. 어떻게 분류하면 좋을까? 인공지능 모델을 추천해줘.",image,Object_detection,Yolo,2
이 사진에는 산과 하늘과 나무가 포함되어 있어. 각 개체들을 분류하고 인식하려면 어떤 알고리즘을 써야할까?,image,Object_detection,Yolo,2
내가 찍은 이 사진에는 여러 종류의 꽃들이 있어. 이를 분류해서 어떤 꽃들이 어디에 위치해 있는지 알려줄 수 있을까?,image,Object_detection,Yolo,2
제가 찍은 사진 속 인물을 인공지능 알고리즘으로 자동 분류할 수 있도록 설정해주세요. 어디에 위치하고 있는지도 함께 알려주시면 감사하겠습니다.,image,Object_detection,Yolo,2
인공지능 알고리즘을 활용해 사용자가 찍은 사진에 나타나는 물체들을 자동으로 분류해주세요. 그리고 위치도 함께 파악해 주세요.,image,Object_detection,Yolo,2
제가 찍은 동영상에 등장하는 사람들을 자동으로 분류해주세요. 그리고 사람들이 어디에 위치해 있는지 인식하고 알려주는 기능을 구현해주세요.,image,Object_detection,Yolo,2
내가 찍은 사진 속 동물들을 자동 분류해줘. 어디에 위치해 있는지도 함께 알려주는 서비스가 있으면 좋겠어.,image,Object_detection,Yolo,2
내가 찍은 사진 속 여러 사물들을 자동으로 분류해줘. 그리고 각각이 어디에 위치해 있는지 알려주는 인공지능 알고리즘을 추천해줘.,image,Object_detection,Yolo,2
인공지능 알고리즘을 활용해 제가 찍은 사진에 등장하는 여러 물체들을 자동으로 분류해주세요. 위치도 인식해서 함께 파악하는 서비스를 만들어 주세요.,image,Object_detection,Yolo,2
